"","text"
"1","aasi    manfaat nya good"
"2","good"
"3","welldonegood job"
"4"," dikirim"
"5","kenaoko a   nggak  cod ya"
"6","transaksi ama x dibatal mulu bikin o  suara n ketentuan kayanya ga sesuai sk taenaasih   co bye "
"7","good"
"8"," kecewa  iriman tokoa garage"
"9","mnthatiasan barang  sesuai  irimannya  ce saran aja coba bikin limit kayak akulaku  limit kreditnya   joss"
"10","ayo berbondong bondong  ah  toko biru  free ongkir dsana dsini h free ongkirnya skrg gk  digabung dgn o  udh gitu  x sekrg cm x"
"11","cukuraya"
"12","mantap"
"13","tokofilbabi gk u memanisi rating deh  menarik atian buyerklo etea  dasar tokofil sialan ayo gaesramaikan toko oyen  form sejenis lainnyabiar tokofil  bangkrut"
"14","akasi yg mengutamakan ualni aasi  butuh eli"
"15","masak  buka menu dasbord emas gak   udah ue terbaru   bantuan  tokoa care   banget hem"
"16",""
"17","teransaksi  "
"18","kurir iriman nya  mahal dr aebelah   saran tambahkan kurir t hemat sei  aebelah  klo saran  gak  tanggaending belanja  aebelah  murah"
"19","mantab"
"20","kasi  bintang    gratis ongkir  kasi bintang "
"21","walauudah daftarin sidik jari taering  daftarin sidik jari   mengganggu"
"22"," mahal"
"23","aasi asu esan ga    tokoa masuk aja susah su teles bener aasi bodoh jamannya kemudahan  bisnis online akses mudah   ribet gublog  auto uninstal aplikasi  tolol tolol"
"24","trimah kasih  keayaannya   driver gojek onlene maaf   sakit"
"25","pengguna   dacoin go taetelah dibayar coin nya g   a bukti invoicenya"
"26","oke tokoa saran kalo nggan  dadiskon  ribu tolong  cod aja ya niat  berbagi  nggan  saran bolehin cod   uang digital  semoga  terasaran nya"
"27","  kenal eh udh dabelanja gratis dr toko aseneng nya"
"28","jelek banget olshop nya bintang nol "
"29"," kesini  ga  tolong diaiki   nya datraktiran   skrng udh ga adacashbackgratis ongkir     bersamaskrng udah  biaya jasa aasi  kesini  ribettolong kembalikan tokoa    "
"30","tolol nih aasi  verivikasi umur taak selesai"
"31","cakeedbd"
"32","mantap"
"33","mantap"
"34","aasinya bagus"
"35","kenaertifilat   muncul didashboard erja   "
"36","baikk"
"37"," kesini  kalah  toko sebelah"
"38","tolong   ajuan atalan    batas  merugikan  konsumen ual jdi sengaja iseng"
"39","server lemot h lag bikin emosi  toyang lemot server down mending sholancar"
"40","maaf  aasi nya  eror alias download ulang    menggangu"
"41"," bagus  udah gak "
"42","mantawa"
"43"," o udah seneng  dibatalin  k tok"
"44","ok"
"45"," mudah berbelanja"
"46","metode ayaran terbatas ribet "
"47","mantakok nya tokoa bnyak cashback nya"
"48","mantaapp"
"49","bagus"
"50"," mik belanja online"
"51","ok"
"52","traktiran      i kecewaaa"
"53"," "
"54","semoga tokoa  maju  ekssinya     berkembang   memerjakan  orang terimakasih tokoa"
"55","trimakasih"
"56","muantab"
"57"," gratis ongkir  biaya  mahal  gak make uma  o gratis ongkir "
"58","bagussss"
"59","aasi   membantu"
"60","bagus"
"61","markete lebay kebanyakan ngek customer dgn iming o  tuh o   batalkan system blacklist  mending shokemanamana"
"62","aasi gak  taiii  verifikasi  th  nyusahin orang es   aasi gak "
"63","good"
"64","estimasinya  membagongkandan  komersilaerba beaya "
"65","cs ga fast resembalian refund trllu  samskrnk ga masuk jg stiaat cs ngmng sudh  ritaskansruh cek limit trsmasuk kagayg  info tagihan yg masuk konsumen rugi ga  i tmit ga d kembalikanyg  cma  bayar tagihantlong  aiki cs nyajngn kebanyakan magabutsruh fast reskrjnya"
"66","pengiriman lemot kendala  kendala mulu saan kalah  aebelah  sat set sat set"
"67","  fitur  msh  camtangan orang  it"
"68"," toko gratis ongkir  cashback gabisa  bersamaan beda bgt sma toko oren   tokjg  "
"69","aasinya ngelack gak  nih"
"70","biaya refund   d kembalikan"
"71","pentes klah ama sebelah aktieter aja gk  "
"72","nggak  mengkonfimasi kalo tnya udah "
"73","biarkan bintang yg menilai"
"74","sat set"
"75"," bagis"
"76","mantul"
"77","good"
"78","  bersaing dgn ecommerce sebelah agi    i  voucher doang"
"79","moga benjam murah "
"80"," cashback    i bersamaan gratis ongkir"
