userName,score,at,content,,,,,,,,,,,,,
Fitriyani Zebua,5,11/27/2022 14:35,Aplikasi ini banyak sekali manfaat nya Good.,,,,,,,,,,,,,
cici miranti,5,11/27/2022 14:25,good,,,,,,,,,,,,,
Arie Koneng,5,11/27/2022 14:18,welldone...good job,,,,,,,,,,,,,
Viro Fernandez,3,11/27/2022 14:17,segera dikirim,,,,,,,,,,,,,
Liyas Yaman,5,11/27/2022 14:10,Kenapa toko pedia sekarang sudah nggak bisa cod ya,,,,,,,,,,,,,
Hana Wihana,1,11/27/2022 14:09, Transaksi pertama 2X dibatal mulu, bikin promo banyak suara n ketentuan, kayanya ga sesuai S&K tapi kenapa masih bisa di CO... Bye !!! ,,,,,,,,,,,
Nurul Afifah,5,11/27/2022 14:01,good,,,,,,,,,,,,,
Zahraarif Kurniawan,1,11/27/2022 14:00,Sangat kecewa dengan pengiriman tokopedia garage,,,,,,,,,,,,,
Fernando Masloman,5,11/27/2022 13:43, Mnthap, setiap pesan barang selalu sesuai, dan pengirimannya juga cepat. Saran aja, coba bikin limit kayak akulaku, ada limit kreditnya, psti lebih Joss🙏 ,,,,,,,,
Paijho,1,11/27/2022 13:37, Ayo berbondong bondong kita pindah ke toko biru, banyak free ongkir dsana, dsini payah free ongkirnya skrg gk bisa digabung dgn promo lain udh gitu dulu 5x sekrg cm 3x... ,,,,,,,,,,,
Musafir Lawas,5,11/27/2022 13:33,cukup terpercaya,,,,,,,,,,,,,
amoy muslimah,5,11/27/2022 13:31,Mantap,,,,,,,,,,,,,
Reza Ferdinand,1,11/27/2022 13:31, Tokopedofil,Babi!!! Gk perlu memanipulasi rating deh buat menarik perhatian buyer..klo penipu tetep aja penipu!!!! Dasar Tokopedofil sialan!!!! Ayo gaes...ramaikan toko oyen atau platform sejenis lainnya,biar tokopedofil bisa bangkrut!!!! ,,,,,,,,,,,
bayu surya,1,11/27/2022 13:18,Apalikasi yg mengutamakan penjual...ni aplikasi tidak butuh pembeli..,,,,,,,,,,,,,
Kevin Prasetya,1,11/27/2022 13:13,masak mau buka menu dasbord emas gak bisa2 padahal udah update terbaru ..mau minta bantuan ke tokopedia care juga lama banget hem,,,,,,,,,,,,,
seno,5,11/27/2022 13:12,😆,,,,,,,,,,,,,
Shinchan,1,11/27/2022 13:09,Teransaksi tidak jelas,,,,,,,,,,,,,
jonny hanjaya,3,11/27/2022 13:04, Kurir pengiriman nya lebih mahal dr apk sebelah , dan saran tambahkan kurir paket hemat seperti di apk sebelah , klo saran saya gak di tanggapi mending belanja di apk sebelah lebih murah ,,,,,,,,,,,
Rizqi Faini,5,11/27/2022 13:00,mantab,,,,,,,,,,,,,
rara manise,4,11/27/2022 12:56, kasi 4 bintang dulu, kalau benar2 gratis ongkir baru kasi bintang 5 ,,,,,,,,,,,,
Adi Subrata,1,11/27/2022 12:48,Walaupun udah daftarin sidik jari. Tapi sering minta daftarin sidik jari terus. Sangat mengganggu.,,,,,,,,,,,,,
Irah Baidilah,5,11/27/2022 12:46,lebih mahal,,,,,,,,,,,,,
Abdul Yasin,1,11/27/2022 12:42,Aplikasi asu pantesan ga ada yang pake tokopedia masuk aja susah su teles Bener aplikasi bodoh jamannya kemudahan dalam bisnis online akses mudah ini malah ribet gublog yakin AUTO UNINSTAL APLIKASI YANG TOLOL TOLOL,,,,,,,,,,,,,
Trisno Driver,5,11/27/2022 12:42,Trimah kasih atas kepercayaannya kepada saya driver gojek onlene maaf saya masih sakit,,,,,,,,,,,,,
fathoni muhammad,1,11/27/2022 12:39,Pengguna baru katanya dapat coin gopay 50.000 tapi setelah dibayar coin nya g ada. Aku punya bukti invoicenya.,,,,,,,,,,,,,
