"","klasifikasi","score","text"
"1","Positif",2,"aasi    manfaat nya good"
"2","Positif",1,"good"
"3","Netral",0,"welldonegood job"
"4","Netral",0," dikirim"
"5","Negatif",-1,"kenaoko a   nggak  cod ya"
"6","Netral",0,"transaksi ama x dibatal mulu bikin o  suara n ketentuan kayanya ga sesuai sk taenaasih   co bye "
"7","Positif",1,"good"
"8","Negatif",-1," kecewa  iriman tokoa garage"
"9","Positif",2,"mnthatiasan barang  sesuai  irimannya  ce saran aja coba bikin limit kayak akulaku  limit kreditnya   joss"
"10","Netral",0,"ayo berbondong bondong  ah  toko biru  free ongkir dsana dsini h free ongkirnya skrg gk  digabung dgn o  udh gitu  x sekrg cm x"
"11","Netral",0,"cukuraya"
"12","Positif",1,"mantap"
"13","Negatif",-3,"tokofilbabi gk u memanisi rating deh  menarik atian buyerklo etea  dasar tokofil sialan ayo gaesramaikan toko oyen  form sejenis lainnyabiar tokofil  bangkrut"
"14","Netral",0,"akasi yg mengutamakan ualni aasi  butuh eli"
"15","Positif",4,"masak  buka menu dasbord emas gak   udah ue terbaru   bantuan  tokoa care   banget hem"
"16","Netral",0,""
"17","Netral",0,"teransaksi  "
"18","Netral",0,"kurir iriman nya  mahal dr aebelah   saran tambahkan kurir t hemat sei  aebelah  klo saran  gak  tanggaending belanja  aebelah  murah"
"19","Positif",1,"mantab"
"20","Positif",3,"kasi  bintang    gratis ongkir  kasi bintang "
"21","Negatif",-1,"walauudah daftarin sidik jari taering  daftarin sidik jari   mengganggu"
"22","Netral",0," mahal"
"23","Negatif",-4,"aasi asu esan ga    tokoa masuk aja susah su teles bener aasi bodoh jamannya kemudahan  bisnis online akses mudah   ribet gublog  auto uninstal aplikasi  tolol tolol"
"24","Positif",2,"trimah kasih  keayaannya   driver gojek onlene maaf   sakit"
"25","Positif",1,"pengguna   dacoin go taetelah dibayar coin nya g   a bukti invoicenya"
"26","Netral",0,"oke tokoa saran kalo nggan  dadiskon  ribu tolong  cod aja ya niat  berbagi  nggan  saran bolehin cod   uang digital  semoga  terasaran nya"
"27","Positif",1,"  kenal eh udh dabelanja gratis dr toko aseneng nya"
"28","Positif",1,"jelek banget olshop nya bintang nol "
"29","Negatif",-1," kesini  ga  tolong diaiki   nya datraktiran   skrng udh ga adacashbackgratis ongkir     bersamaskrng udah  biaya jasa aasi  kesini  ribettolong kembalikan tokoa    "
"30","Negatif",-2,"tolol nih aasi  verivikasi umur taak selesai"
"31","Netral",0,"cakeedbd"
"32","Positif",1,"mantap"
"33","Positif",1,"mantap"
"34","Positif",1,"aasinya bagus"
"35","Netral",0,"kenaertifilat   muncul didashboard erja   "
"36","Netral",0,"baikk"
"37","Negatif",-1," kesini  kalah  toko sebelah"
"38","Netral",0,"tolong   ajuan atalan    batas  merugikan  konsumen ual jdi sengaja iseng"
"39","Negatif",-1,"server lemot h lag bikin emosi  toyang lemot server down mending sholancar"
"40","Netral",0,"maaf  aasi nya  eror alias download ulang    menggangu"
"41","Positif",1," bagus  udah gak "
"42","Netral",0,"mantawa"
"43","Netral",0," o udah seneng  dibatalin  k tok"
"44","Netral",0,"ok"
"45","Netral",0," mudah berbelanja"
"46","Negatif",-1,"metode ayaran terbatas ribet "
